nft_id,program_id,disease,intervention,owner_id,status,mint_date,transfer_count,qaly_value
NFT-000021,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-02-21 17:46:20.319442,0,1
NFT-000022,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2024-12-04 17:46:20.319442,0,1
NFT-000023,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-05-07 17:46:20.319442,2,1
NFT-000024,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2024-10-11 17:46:20.319442,2,1
NFT-000025,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2025-05-10 17:46:20.319442,2,1
NFT-000026,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2024-07-23 17:46:20.319442,2,1
NFT-000027,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-01-21 17:46:20.319442,2,1
NFT-000028,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2024-12-07 17:46:20.319442,0,1
NFT-000029,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2024-12-14 17:46:20.319442,2,1
NFT-000030,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-09-01 17:46:20.319442,0,1
NFT-000031,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-11-11 17:46:20.319442,0,1
NFT-000032,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2024-10-21 17:46:20.319442,0,1
NFT-000033,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2025-03-12 17:46:20.319442,2,1
NFT-000034,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2025-01-05 17:46:20.319442,2,1
NFT-000035,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2024-11-07 17:46:20.319442,2,1
NFT-000036,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2024-11-13 17:46:20.319442,1,1
NFT-000037,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2025-04-02 17:46:20.319442,2,1
NFT-000038,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2024-07-04 17:46:20.319442,2,1
NFT-000039,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-08-24 17:46:20.319442,2,1
NFT-000040,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-03-18 17:46:20.319442,0,1
NFT-000041,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2025-01-12 17:46:20.319442,2,1
NFT-000042,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2024-12-01 17:46:20.319442,1,1
NFT-000043,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2024-11-24 17:46:20.319442,0,1
NFT-000044,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-02-17 17:46:20.319442,2,1
NFT-000045,BP1,Hypertension,Thiazide diuretics,Hospital A,transferred,2024-07-05 17:46:20.319442,2,1
NFT-000046,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-08-04 17:46:20.319442,2,1
NFT-000047,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-06-12 17:46:20.319442,0,1
NFT-000048,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2024-09-04 17:46:20.319442,0,1
NFT-000049,BP1,Hypertension,Thiazide diuretics,Hospital A,transferred,2024-12-15 17:46:20.319442,1,1
NFT-000050,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-02-12 17:46:20.319442,1,1
NFT-000051,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-12-05 17:46:20.319442,0,1
NFT-000052,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2024-06-07 17:46:20.319442,2,1
NFT-000053,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2024-10-12 17:46:20.319442,0,1
NFT-000054,BP1,Hypertension,Thiazide diuretics,Dr. Smith,transferred,2024-12-06 17:46:20.319442,0,1
NFT-000055,BP1,Hypertension,Thiazide diuretics,Hospital B,transferred,2024-05-31 17:46:20.319442,2,1
NFT-000056,BP1,Hypertension,Thiazide diuretics,Hospital A,transferred,2025-05-02 17:46:20.319442,0,1
NFT-000057,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2025-04-12 17:46:20.319442,1,1
NFT-000058,BP1,Hypertension,Thiazide diuretics,Hospital C,transferred,2024-11-26 17:46:20.319442,0,1
NFT-000059,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2025-03-09 17:46:20.319442,2,1
NFT-000060,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-01-03 17:46:20.319442,1,1
NFT-000061,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2025-02-02 17:46:20.319442,0,1
NFT-000062,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2024-12-17 17:46:20.319442,0,1
NFT-000063,BP1,Hypertension,Thiazide diuretics,Dr. Smith,transferred,2024-09-23 17:46:20.319442,2,1
NFT-000064,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2024-05-31 17:46:20.319442,1,1
NFT-000065,BP1,Hypertension,Thiazide diuretics,Admin Team,transferred,2025-03-07 17:46:20.319442,2,1
NFT-000066,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-04-09 17:46:20.319442,1,1
NFT-000067,BP1,Hypertension,Thiazide diuretics,Dr. Williams,transferred,2024-09-11 17:46:20.319442,0,1
NFT-000068,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2024-12-22 17:46:20.319442,1,1
NFT-000069,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2025-05-16 17:46:20.319442,2,1
NFT-000070,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2024-10-30 17:46:20.319442,0,1
NFT-000071,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2024-06-24 17:46:20.319442,1,1
NFT-000072,BP1,Hypertension,Thiazide diuretics,Dr. Smith,transferred,2024-10-14 17:46:20.319442,1,1
NFT-000073,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2024-06-12 17:46:20.319442,2,1
NFT-000074,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2025-04-08 17:46:20.319442,1,1
NFT-000075,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2025-03-11 17:46:20.319442,1,1
NFT-000076,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,transferred,2024-08-11 17:46:20.319442,0,1
NFT-000077,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-05-26 17:46:20.319442,1,1
NFT-000078,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-12-03 17:46:20.319442,2,1
NFT-000079,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2025-02-07 17:46:20.319442,0,1
NFT-000080,BP1,Hypertension,Thiazide diuretics,Ministry of Health,transferred,2024-10-31 17:46:20.319442,2,1
NFT-000081,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-03-06 17:46:20.319442,2,1
NFT-000082,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-03-29 17:46:20.319442,2,1
NFT-000083,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2025-01-03 17:46:20.319442,1,1
NFT-000084,BP1,Hypertension,Thiazide diuretics,Ministry of Health,transferred,2024-12-14 17:46:20.319442,0,1
NFT-000085,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-12-03 17:46:20.319442,1,1
NFT-000086,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-01-19 17:46:20.319442,2,1
NFT-000087,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2024-09-29 17:46:20.319442,1,1
NFT-000088,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2024-06-08 17:46:20.319442,2,1
NFT-000089,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2024-07-14 17:46:20.319442,2,1
NFT-000090,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2024-08-01 17:46:20.319442,2,1
NFT-000091,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2024-09-18 17:46:20.319442,2,1
NFT-000092,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2024-08-25 17:46:20.319442,1,1
NFT-000093,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2025-05-21 17:46:20.319442,2,1
NFT-000094,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2024-10-22 17:46:20.319442,1,1
NFT-000095,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2025-04-14 17:46:20.319442,0,1
NFT-000096,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,transferred,2025-01-21 17:46:20.319442,0,1
NFT-000097,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-01-05 17:46:20.319442,1,1
NFT-000098,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2025-01-15 17:46:20.319442,1,1
NFT-000099,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-02-16 17:46:20.319442,2,1
NFT-000100,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-06-06 17:46:20.319442,0,1
NFT-000101,BP1,Hypertension,Thiazide diuretics,Ministry of Health,transferred,2024-07-23 17:46:20.319442,2,1
NFT-000102,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2024-11-20 17:46:20.319442,0,1
NFT-000103,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2025-05-05 17:46:20.319442,2,1
NFT-000104,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-04-11 17:46:20.319442,1,1
NFT-000105,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2024-07-17 17:46:20.319442,1,1
NFT-000106,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-12-03 17:46:20.319442,2,1
NFT-000107,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-10-23 17:46:20.319442,2,1
NFT-000108,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-02-01 17:46:20.320438,0,1
NFT-000109,BP1,Hypertension,Thiazide diuretics,Admin Team,transferred,2024-06-01 17:46:20.320438,1,1
NFT-000110,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2025-04-11 17:46:20.320438,1,1
NFT-000111,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2024-12-27 17:46:20.320438,1,1
NFT-000112,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-08-01 17:46:20.320438,1,1
NFT-000113,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-11-28 17:46:20.320438,1,1
NFT-000114,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-08-19 17:46:20.320438,1,1
NFT-000115,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-01-20 17:46:20.320438,2,1
NFT-000116,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-04-30 17:46:20.320438,0,1
NFT-000117,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-05-13 17:46:20.320438,0,1
NFT-000118,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-06-08 17:46:20.320438,0,1
NFT-000119,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2024-10-01 17:46:20.320438,1,1
NFT-000120,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2025-03-13 17:46:20.320438,1,1
NFT-000121,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2025-05-08 17:46:20.320438,1,1
NFT-000122,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2024-09-11 17:46:20.320438,1,1
NFT-000123,BP1,Hypertension,Thiazide diuretics,Hospital C,transferred,2025-01-25 17:46:20.320438,0,1
NFT-000124,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-05-05 17:46:20.320438,2,1
NFT-000125,BP1,Hypertension,Thiazide diuretics,Hospital B,transferred,2025-02-21 17:46:20.320438,2,1
NFT-000126,BP1,Hypertension,Thiazide diuretics,Hospital C,transferred,2024-12-04 17:46:20.320438,1,1
NFT-000127,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2025-03-22 17:46:20.320438,0,1
NFT-000128,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2024-06-14 17:46:20.320438,2,1
NFT-000129,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-02-14 17:46:20.320438,1,1
NFT-000130,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2025-03-09 17:46:20.320438,0,1
NFT-000131,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-03-18 17:46:20.320438,1,1
NFT-000132,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2024-12-16 17:46:20.320438,2,1
NFT-000133,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2024-08-15 17:46:20.320438,2,1
NFT-000134,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2025-02-10 17:46:20.320438,1,1
NFT-000135,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2024-06-22 17:46:20.320438,2,1
NFT-000136,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-11-11 17:46:20.320438,0,1
NFT-000137,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2025-01-25 17:46:20.320438,0,1
NFT-000138,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2024-05-28 17:46:20.320438,2,1
NFT-000139,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2024-09-08 17:46:20.320438,1,1
NFT-000140,BP1,Hypertension,Thiazide diuretics,Dr. Smith,transferred,2025-02-08 17:46:20.320438,0,1
NFT-000141,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2024-07-29 17:46:20.320438,2,1
NFT-000142,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-01-24 17:46:20.320438,0,1
NFT-000143,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2025-03-16 17:46:20.320438,2,1
NFT-000144,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2025-02-07 17:46:20.320438,2,1
NFT-000145,BP1,Hypertension,Thiazide diuretics,Ministry of Health,transferred,2025-04-03 17:46:20.320438,0,1
NFT-000146,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2024-06-19 17:46:20.320438,2,1
NFT-000147,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-11-08 17:46:20.320438,1,1
NFT-000148,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-01-05 17:46:20.320438,2,1
NFT-000149,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2024-07-13 17:46:20.320438,2,1
NFT-000150,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2024-12-01 17:46:20.320438,1,1
NFT-000151,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-03-08 17:46:20.320438,0,1
NFT-000152,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2025-03-21 17:46:20.320438,1,1
NFT-000153,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2024-10-31 17:46:20.320438,2,1
NFT-000154,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-05-15 17:46:20.320438,0,1
NFT-000155,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2024-09-01 17:46:20.320438,1,1
NFT-000156,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2024-10-28 17:46:20.320438,1,1
NFT-000157,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2025-03-13 17:46:20.320438,2,1
NFT-000158,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2024-11-02 17:46:20.320438,1,1
NFT-000159,BP1,Hypertension,Thiazide diuretics,Hospital A,transferred,2024-10-23 17:46:20.320438,2,1
NFT-000160,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-04-17 17:46:20.320438,1,1
NFT-000161,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-11-07 17:46:20.320438,0,1
NFT-000162,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2024-12-14 17:46:20.320438,0,1
NFT-000163,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2024-12-12 17:46:20.320438,2,1
NFT-000164,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2024-06-10 17:46:20.320438,2,1
NFT-000165,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2025-02-14 17:46:20.320438,2,1
NFT-000166,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-12-15 17:46:20.320438,2,1
NFT-000167,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-02-09 17:46:20.320438,0,1
NFT-000168,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2024-06-04 17:46:20.320438,1,1
NFT-000169,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-12-27 17:46:20.320438,2,1
NFT-000170,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-10-23 17:46:20.320438,0,1
NFT-000171,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2025-01-14 17:46:20.320438,1,1
NFT-000172,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-08-31 17:46:20.320438,0,1
NFT-000173,BP1,Hypertension,Thiazide diuretics,Admin Team,transferred,2024-10-05 17:46:20.320438,2,1
NFT-000174,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-03-24 17:46:20.320438,1,1
NFT-000175,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-01-06 17:46:20.320438,2,1
NFT-000176,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2024-09-16 17:46:20.320438,1,1
NFT-000177,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-04-15 17:46:20.320438,1,1
NFT-000178,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-05-22 17:46:20.320438,1,1
NFT-000179,BP1,Hypertension,Thiazide diuretics,Admin Team,transferred,2024-10-20 17:46:20.320438,2,1
NFT-000180,BP1,Hypertension,Thiazide diuretics,Ministry of Health,transferred,2025-05-01 17:46:20.320438,0,1
NFT-000181,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2024-05-29 17:46:20.320438,1,1
NFT-000182,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2025-04-26 17:46:20.320438,2,1
NFT-000183,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2025-03-11 17:46:20.320438,2,1
NFT-000184,BP1,Hypertension,Thiazide diuretics,Ministry of Health,transferred,2025-01-23 17:46:20.320438,0,1
NFT-000185,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-05-09 17:46:20.320438,1,1
NFT-000186,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2025-03-25 17:46:20.320438,2,1
NFT-000187,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-09-30 17:46:20.320438,2,1
NFT-000188,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-08-29 17:46:20.320438,0,1
NFT-000189,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2025-02-17 17:46:20.320438,0,1
NFT-000190,BP1,Hypertension,Thiazide diuretics,Dr. Williams,transferred,2025-04-01 17:46:20.320438,1,1
NFT-000191,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-10-14 17:46:20.320438,2,1
NFT-000192,BP1,Hypertension,Thiazide diuretics,Hospital C,transferred,2025-04-10 17:46:20.320438,0,1
NFT-000193,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-12-22 17:46:20.320438,2,1
NFT-000194,BP1,Hypertension,Thiazide diuretics,Hospital A,transferred,2024-10-19 17:46:20.320438,1,1
NFT-000195,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2025-04-17 17:46:20.320438,0,1
NFT-000196,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2024-06-17 17:46:20.320438,0,1
NFT-000197,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-02-17 17:46:20.320438,2,1
NFT-000198,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-02-12 17:46:20.320438,0,1
NFT-000199,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2025-02-09 17:46:20.320438,1,1
NFT-000200,BP1,Hypertension,Thiazide diuretics,Hospital A,transferred,2024-11-11 17:46:20.320438,0,1
NFT-000201,BP1,Hypertension,Thiazide diuretics,Admin Team,transferred,2024-09-07 17:46:20.320438,2,1
NFT-000202,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2025-03-26 17:46:20.320438,1,1
NFT-000203,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2025-02-04 17:46:20.320438,0,1
NFT-000204,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-11-06 17:46:20.320438,2,1
NFT-000205,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2025-02-02 17:46:20.320438,0,1
NFT-000206,BP1,Hypertension,Thiazide diuretics,Hospital A,transferred,2025-03-01 17:46:20.320438,2,1
NFT-000207,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-08-25 17:46:20.320438,1,1
NFT-000208,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-12-14 17:46:20.320438,2,1
NFT-000209,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2025-01-10 17:46:20.320438,1,1
NFT-000210,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2025-04-20 17:46:20.320438,1,1
NFT-000211,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2024-06-07 17:46:20.320438,2,1
NFT-000212,BP1,Hypertension,Thiazide diuretics,Admin Team,transferred,2025-03-08 17:46:20.320438,0,1
NFT-000213,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2024-06-16 17:46:20.320438,2,1
NFT-000214,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2024-06-18 17:46:20.320438,0,1
NFT-000215,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2024-09-28 17:46:20.320438,2,1
NFT-000216,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2025-01-12 17:46:20.320438,2,1
NFT-000217,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2025-03-03 17:46:20.320438,0,1
NFT-000218,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2024-11-03 17:46:20.320438,1,1
NFT-000219,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2024-12-18 17:46:20.320438,0,1
NFT-000220,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2024-06-27 17:46:20.320438,0,1
NFT-000221,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2025-02-25 17:46:20.320438,1,1
NFT-000222,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-05-03 17:46:20.320438,1,1
NFT-000223,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-02-28 17:46:20.320438,2,1
NFT-000224,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2024-11-28 17:46:20.320438,1,1
NFT-000225,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2024-08-28 17:46:20.320438,0,1
NFT-000226,BP1,Hypertension,Thiazide diuretics,Admin Team,active,2025-01-14 17:46:20.320438,2,1
NFT-000227,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-07-28 17:46:20.320438,1,1
NFT-000228,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2024-12-21 17:46:20.320438,0,1
NFT-000229,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-02-05 17:46:20.320438,0,1
NFT-000230,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-01-11 17:46:20.320438,0,1
NFT-000231,BP1,Hypertension,Thiazide diuretics,Ministry of Health,transferred,2025-01-06 17:46:20.320438,2,1
NFT-000232,BP1,Hypertension,Thiazide diuretics,Hospital A,transferred,2025-02-04 17:46:20.320438,2,1
NFT-000233,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2025-05-08 17:46:20.321435,1,1
NFT-000234,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2024-09-12 17:46:20.321435,0,1
NFT-000235,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2025-04-18 17:46:20.321435,0,1
NFT-000236,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-02-05 17:46:20.321435,0,1
NFT-000237,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2024-12-02 17:46:20.321435,2,1
NFT-000238,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2025-03-25 17:46:20.321435,1,1
NFT-000239,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-01-28 17:46:20.321435,1,1
NFT-000240,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2024-09-07 17:46:20.321435,2,1
NFT-000241,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-04-29 17:46:20.321435,2,1
NFT-000242,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-04-22 17:46:20.321435,1,1
NFT-000243,BP1,Hypertension,Thiazide diuretics,Dr. Williams,transferred,2024-07-08 17:46:20.321435,0,1
NFT-000244,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-12-27 17:46:20.321435,1,1
NFT-000245,BP1,Hypertension,Thiazide diuretics,Hospital A,active,2025-01-27 17:46:20.321435,0,1
NFT-000246,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2025-03-10 17:46:20.321435,0,1
